Button A: X+15, Y+29
Button B: X+56, Y+23
Prize: X=9778, Y=15506

Button A: X+28, Y+37
Button B: X+69, Y+17
Prize: X=5356, Y=3517

Button A: X+47, Y+79
Button B: X+84, Y+16
Prize: X=7244, Y=1660

Button A: X+11, Y+39
Button B: X+48, Y+16
Prize: X=11476, Y=14884

Button A: X+12, Y+79
Button B: X+60, Y+14
Prize: X=9836, Y=12272

Button A: X+33, Y+50
Button B: X+26, Y+12
Prize: X=6772, Y=15880

Button A: X+66, Y+19
Button B: X+12, Y+38
Prize: X=14888, Y=4452

Button A: X+16, Y+42
Button B: X+64, Y+15
Prize: X=16928, Y=7838

Button A: X+13, Y+32
Button B: X+54, Y+20
Prize: X=5073, Y=14580

Button A: X+19, Y+36
Button B: X+56, Y+29
Prize: X=1226, Y=1814

Button A: X+79, Y+32
Button B: X+18, Y+66
Prize: X=14753, Y=5438

Button A: X+79, Y+15
Button B: X+16, Y+82
Prize: X=2878, Y=14244

Button A: X+78, Y+25
Button B: X+14, Y+62
Prize: X=7916, Y=3975

Button A: X+59, Y+14
Button B: X+21, Y+71
Prize: X=16664, Y=10839

Button A: X+67, Y+19
Button B: X+18, Y+73
Prize: X=14219, Y=7633

Button A: X+83, Y+13
Button B: X+91, Y+85
Prize: X=14292, Y=8252

Button A: X+92, Y+29
Button B: X+30, Y+94
Prize: X=7532, Y=7785

Button A: X+13, Y+65
Button B: X+71, Y+20
Prize: X=260, Y=15580

Button A: X+74, Y+29
Button B: X+42, Y+62
Prize: X=4438, Y=5428

Button A: X+11, Y+52
Button B: X+45, Y+19
Prize: X=17422, Y=11778

Button A: X+14, Y+74
Button B: X+82, Y+12
Prize: X=6218, Y=15688

Button A: X+60, Y+40
Button B: X+18, Y+54
Prize: X=1398, Y=1814

Button A: X+28, Y+76
Button B: X+56, Y+16
Prize: X=12856, Y=3760

Button A: X+73, Y+11
Button B: X+55, Y+66
Prize: X=2831, Y=946

Button A: X+16, Y+48
Button B: X+67, Y+32
Prize: X=18491, Y=19184

Button A: X+84, Y+16
Button B: X+20, Y+71
Prize: X=8892, Y=6733

Button A: X+91, Y+14
Button B: X+66, Y+89
Prize: X=6287, Y=4673

Button A: X+18, Y+62
Button B: X+37, Y+15
Prize: X=16550, Y=14482

Button A: X+20, Y+74
Button B: X+52, Y+15
Prize: X=13004, Y=10683

Button A: X+68, Y+35
Button B: X+14, Y+54
Prize: X=14024, Y=8701

Button A: X+13, Y+39
Button B: X+41, Y+23
Prize: X=1685, Y=3355

Button A: X+13, Y+76
Button B: X+82, Y+22
Prize: X=10323, Y=9654

Button A: X+11, Y+83
Button B: X+84, Y+14
Prize: X=7519, Y=3489

Button A: X+33, Y+84
Button B: X+80, Y+32
Prize: X=8033, Y=8948

Button A: X+72, Y+42
Button B: X+35, Y+71
Prize: X=9117, Y=8505

Button A: X+18, Y+40
Button B: X+90, Y+31
Prize: X=9234, Y=6493

Button A: X+19, Y+68
Button B: X+66, Y+61
Prize: X=7205, Y=10543

Button A: X+55, Y+29
Button B: X+21, Y+34
Prize: X=5591, Y=14886

Button A: X+46, Y+22
Button B: X+26, Y+56
Prize: X=2070, Y=13584

Button A: X+19, Y+50
Button B: X+62, Y+22
Prize: X=12087, Y=7636

Button A: X+16, Y+82
Button B: X+80, Y+12
Prize: X=8592, Y=3598

Button A: X+23, Y+11
Button B: X+13, Y+23
Prize: X=15241, Y=9445

Button A: X+26, Y+45
Button B: X+39, Y+19
Prize: X=10364, Y=9006

Button A: X+51, Y+19
Button B: X+14, Y+28
Prize: X=12489, Y=16499

Button A: X+12, Y+23
